SimID,L,Haploid,monoecious,omega,complete,PhenExp_1,PhenExp_2,GenExp_1,GenExp_2,PhenShift,GenShift
1,1,TRUE,TRUE,0,1,1.61450220015882,1.60223503441707,0.0239410099817045,0.0156048559503336,1.6517763036283,0.048862324052654
2,1,TRUE,TRUE,0,1,1.88347465515535,1.95309772461531,0.00557532057970913,0.015134824383585,1.82660175938858,0.0098822010834932
3,1,TRUE,TRUE,0,1,1.67445164772961,1.57889113869543,0.0251845978232513,0.00443422702053118,1.6870077481808,0.0428881019656169
4,1,TRUE,TRUE,0,1,1.71740709134263,1.70941820714104,0.00402999035610475,0.0045809483689096,1.73012241788313,0.00531063510432243
5,1,TRUE,TRUE,0,1,1.51807783330286,1.24542514781718,0.00564980377538344,0.00501453142433367,NA,NA
6,1,TRUE,TRUE,0,1,1.50905054252173,1.50661064741358,0.0167574367372306,0.0147149815560617,NA,NA
7,1,TRUE,TRUE,0,1,1.72387830571526,1.84096658659862,0.00896751190809363,0.0175612708280359,1.58521994132818,0.0304084189509647
8,1,TRUE,TRUE,0,1,1.21639841972705,1.33296727962738,0.0195793964786059,0.030851740121743,NA,NA
9,1,TRUE,TRUE,0,1,1.9050437457734,1.84672452414655,0.0293677988801718,0.0154078433368699,1.88265255526128,0.0127450843841204
10,1,TRUE,TRUE,0,1,1.34265736935889,1.38769826108998,0.0281735537658787,0.0129121468737941,NA,NA
11,1,TRUE,TRUE,0,1,1.40496348577396,1.41191202760157,0.00569549179879058,0.0104227559230858,NA,NA
12,1,TRUE,TRUE,0,1,1.36421612377294,1.30758354001892,0.00973390291835343,0.00294099260168684,NA,NA
13,1,TRUE,TRUE,0,1,1.02817785600727,1.09405609539362,0.00812699457213029,0.0051141066995036,NA,NA
14,1,TRUE,TRUE,0,1,1.54397650287889,1.53582861194746,0.00856942986617986,0.0275301402461298,NA,NA
15,1,TRUE,TRUE,0,1,1.51025834820607,1.37780671084094,0.00902538125798591,0.00297437205814254,NA,NA
16,1,TRUE,TRUE,0,1,1.73981838096079,1.76993489989538,0.0065269359982168,0.00769421202663486,1.76728637425448,0.0062886740750638
17,1,TRUE,TRUE,0,1,1.65599230817891,1.93631903312571,0.00428919292154279,0.0104763587387228,1.80320197826445,0.0217924389518714
18,1,TRUE,TRUE,0,1,1.3098248818765,1.35446595465837,0.00744478352836994,0.00871448865722267,NA,NA
19,1,TRUE,TRUE,0,1,1.34101853642488,1.52337569469773,0.00471588759615612,0.0092462823000141,NA,NA
20,1,TRUE,TRUE,0,1,1.45872336604287,1.37121380774042,0.0281309806363918,0.0138357176065312,NA,NA
21,1,TRUE,TRUE,0,1,1.72029887726293,1.70882008962302,0.00753788007108574,0.0112224623325258,1.59634050746623,0.0216212907211467
22,1,TRUE,TRUE,0,1,1.65488195787646,1.54853198193158,0.0202034697818579,0.0121367573821776,NA,NA
23,1,TRUE,TRUE,0,1,1.5929210289354,1.43888070107026,0.00784887992883751,0.00989474340765757,1.59849360397882,0.00633105508226508
24,1,TRUE,TRUE,0,1,1.61587781803992,1.21608599203564,0.0106591071180834,0.0101220434065454,1.64059749719872,0.00547967233528634
25,1,TRUE,TRUE,0,1,1.57645785736397,1.84874221453551,0.0280176673290494,0.0263826835715069,1.5013345956922,0.010699292884431
26,1,TRUE,TRUE,0,1,1.29907555777384,1.38555155780528,0.0244927450552683,0.00925778704107714,NA,NA
27,1,TRUE,TRUE,0,1,1.35858941532798,1.49297894874246,0.0415853929245089,0.0205059761145533,NA,NA
