SimID,L,Haploid,monoecious,omega,complete,MeanPhen,GenVar,SummedGenVar
1,1,TRUE,TRUE,0,1,1.28048059346266,3.15564082236019,NA
2,1,TRUE,TRUE,0,1,1.58278158662588,2.73007761969765,NA
3,1,TRUE,TRUE,0,1,1.38189765981799,5.76114979230696,NA
4,1,TRUE,TRUE,0,1,1.48659692675321,1.02267222632523,NA
5,1,TRUE,TRUE,0,1,1.37951545102899,1.22754785515151,NA
6,1,TRUE,TRUE,0,1,1.37820073667235,1.38660971941086,NA
7,1,TRUE,TRUE,0,1,1.52668789239478,2.93295502980626,NA
8,1,TRUE,TRUE,0,1,1.22441895635025,0.499887396295072,NA
9,1,TRUE,TRUE,0,1,1.53903722169647,2.42084076738148,NA
10,1,TRUE,TRUE,0,1,1.13767003950757,1.99369506583023,NA
11,1,TRUE,TRUE,0,1,1.31817643813578,5.03262603287878,NA
12,1,TRUE,TRUE,0,1,1.38025842459591,0.581979479662179,NA
13,1,TRUE,TRUE,0,1,1.04838473555748,1.15531386359107,NA
14,1,TRUE,TRUE,0,1,1.35183528553033,3.14089611834858,NA
15,1,TRUE,TRUE,0,1,1.30044150650308,1.10076728138462,NA
16,1,TRUE,TRUE,0,1,1.43146155145493,1.99203995408757,NA
17,1,TRUE,TRUE,0,1,1.69044331538747,1.1055149726777,NA
18,1,TRUE,TRUE,0,1,1.22801250898523,1.93227548109329,NA
19,1,TRUE,TRUE,0,1,1.34953805521576,1.14800129117385,NA
20,1,TRUE,TRUE,0,1,1.30466399726962,0.436586230780004,NA
21,1,TRUE,TRUE,0,1,1.39717438587788,1.97367362862212,NA
22,1,TRUE,TRUE,0,1,1.42094643638051,1.00892961522112,NA
23,1,TRUE,TRUE,0,1,1.45163109758301,2.28555102820349,NA
24,1,TRUE,TRUE,0,1,1.33879961653197,2.61816596392642,NA
25,1,TRUE,TRUE,0,1,1.31247130393062,0.917524107790619,NA
26,1,TRUE,TRUE,0,1,1.17162547638544,3.91513528141129,NA
27,1,TRUE,TRUE,0,1,1.3019054637919,1.11791158009736,NA
28,1,TRUE,TRUE,0,1,1.21785064045695,3.59873553082976,NA
29,1,TRUE,TRUE,0,1,1.29677002798822,3.17258080858407,NA
30,1,TRUE,TRUE,0,1,1.43019265790049,2.57274573850689,NA
31,1,TRUE,TRUE,0,1,1.68611066467878,0.6784639603629,NA
32,1,TRUE,TRUE,0,1,1.68587078711265,2.73907871961835,NA
33,1,TRUE,TRUE,0,1,1.22969579426016,1.33439393523861,NA
34,1,TRUE,TRUE,0,1,1.52289652073579,0.516261097002621,NA
35,1,TRUE,TRUE,0,1,1.24809474489358,0.747348191850619,NA
36,1,TRUE,TRUE,0,1,1.27963774787353,1.04430386510805,NA
37,1,TRUE,TRUE,0,1,1.25664108187821,5.26958700402591,NA
38,1,TRUE,TRUE,0,1,1.2587136438262,2.589856841097,NA
39,1,TRUE,TRUE,0,1,1.21290405365228,1.64928788715123,NA
40,1,TRUE,TRUE,0,1,1.47908490441333,1.46770509516061,NA
41,1,TRUE,TRUE,0,1,1.47387362519062,1.97856706587996,NA
42,1,TRUE,TRUE,0,1,1.28602016937009,6.32139650602373,NA
43,1,TRUE,TRUE,0,1,1.5410173067373,0.365769199962997,NA
44,1,TRUE,TRUE,0,1,1.27640150008659,5.7512507221665,NA
45,1,TRUE,TRUE,0,1,1.2893834007026,0.506349645761513,NA
46,1,TRUE,TRUE,0,1,1.49877377976302,7.07541414798587,NA
47,1,TRUE,TRUE,0,1,1.33294543473235,2.32660427913116,NA
48,1,TRUE,TRUE,0,1,1.37734810113907,0.81563523691338,NA
49,1,TRUE,TRUE,0,1,1.19840625864441,0.991780473585244,NA
50,1,TRUE,TRUE,0,1,1.17422353452725,0.65484751343274,NA
51,1,TRUE,TRUE,0,1,1.27863323445386,1.61836450727266,NA
52,1,TRUE,TRUE,0,1,1.5017675976043,0.862047434749345,NA
53,1,TRUE,TRUE,0,1,1.07789942057454,2.31001895247194,NA
54,1,TRUE,TRUE,0,1,1.28312116372434,0.442722906107284,NA
55,1,TRUE,TRUE,0,1,1.42428279975866,1.49384819197612,NA
56,1,TRUE,TRUE,0,1,1.30762033688063,0.575237800542284,NA
57,1,TRUE,TRUE,0,1,1.40411286142065,8.15776908505054,NA
58,1,TRUE,TRUE,0,1,1.22338010381507,0.636567858092694,NA
59,1,TRUE,TRUE,0,1,1.04718771118213,1.41497061786837,NA
60,1,TRUE,TRUE,0,1,1.32740366654705,0.698069548051782,NA
61,1,TRUE,TRUE,0,1,1.33169470405126,0.889140359337561,NA
62,1,TRUE,TRUE,0,1,1.40950902940175,1.63899913973651,NA
63,1,TRUE,TRUE,0,1,1.14115409636206,1.23090345403153,NA
64,1,TRUE,TRUE,0,1,1.6921449610467,1.53110609983423,NA
65,1,TRUE,TRUE,0,1,1.60574857723383,1.48172821361053,NA
66,1,TRUE,TRUE,0,1,1.30330978378858,1.42419759713329,NA
67,1,TRUE,TRUE,0,1,1.42406707478886,1.33879885855543,NA
68,1,TRUE,TRUE,0,1,1.52603946585508,0.944368275981009,NA
69,1,TRUE,TRUE,0,1,1.61353120122558,1.65761558063413,NA
70,1,TRUE,TRUE,0,1,1.48648362303945,1.59230703758535,NA
71,1,TRUE,TRUE,0,1,1.49666127909553,3.48138994997,NA
72,1,TRUE,TRUE,0,1,1.44432353793071,1.22576135266176,NA
